,,s,s,s
Time Step,Wall Time,Step Size,Simulation Time,CPU Time
      1,2022-10-12T14:59:44.825+02:00,   0.471E-01,   0.04706,   0.725E+01
      2,2022-10-12T14:59:45.193+02:00,   0.471E-01,   0.09411,   0.764E+01
      3,2022-10-12T14:59:45.664+02:00,   0.471E-01,   0.14117,   0.817E+01
      4,2022-10-12T14:59:46.009+02:00,   0.471E-01,   0.18823,   0.862E+01
      5,2022-10-12T14:59:46.353+02:00,   0.471E-01,   0.23529,   0.912E+01
      6,2022-10-12T14:59:46.856+02:00,   0.471E-01,   0.28234,   0.981E+01
      7,2022-10-12T14:59:47.208+02:00,   0.471E-01,   0.32940,   0.102E+02
      8,2022-10-12T14:59:47.664+02:00,   0.419E-01,   0.37127,   0.110E+02
      9,2022-10-12T14:59:48.294+02:00,   0.327E-01,   0.40399,   0.121E+02
     10,2022-10-12T14:59:48.663+02:00,   0.327E-01,   0.43671,   0.124E+02
     20,2022-10-12T14:59:52.726+02:00,   0.187E-01,   0.66087,   0.188E+02
     30,2022-10-12T14:59:56.609+02:00,   0.122E-01,   0.79508,   0.255E+02
     40,2022-10-12T15:00:00.153+02:00,   0.108E-01,   0.90704,   0.319E+02
     50,2022-10-12T15:00:03.745+02:00,   0.908E-02,   1.01318,   0.379E+02
     60,2022-10-12T15:00:07.344+02:00,   0.908E-02,   1.10400,   0.420E+02
     70,2022-10-12T15:00:10.881+02:00,   0.817E-02,   1.18754,   0.476E+02
     80,2022-10-12T15:00:14.326+02:00,   0.817E-02,   1.26926,   0.519E+02
     90,2022-10-12T15:00:17.821+02:00,   0.817E-02,   1.35099,   0.574E+02
    100,2022-10-12T15:00:21.307+02:00,   0.817E-02,   1.43271,   0.616E+02
    200,2022-10-12T15:00:59.863+02:00,   0.752E-02,   2.16445,   0.105E+03
    300,2022-10-12T15:01:38.227+02:00,   0.752E-02,   2.91637,   0.147E+03
    400,2022-10-12T15:02:17.603+02:00,   0.759E-02,   3.65086,   0.197E+03
    500,2022-10-12T15:02:56.407+02:00,   0.759E-02,   4.41023,   0.245E+03
    600,2022-10-12T15:03:35.785+02:00,   0.597E-02,   5.10341,   0.295E+03
    700,2022-10-12T15:04:16.098+02:00,   0.659E-02,   5.83902,   0.338E+03
    800,2022-10-12T15:04:55.605+02:00,   0.683E-02,   6.52818,   0.383E+03
    900,2022-10-12T15:05:34.865+02:00,   0.665E-02,   7.23446,   0.434E+03
   1000,2022-10-12T15:06:13.792+02:00,   0.655E-02,   7.93905,   0.484E+03
   1100,2022-10-12T15:06:51.775+02:00,   0.695E-02,   8.64193,   0.536E+03
   1200,2022-10-12T15:07:32.726+02:00,   0.735E-02,   9.38627,   0.586E+03
   1300,2022-10-12T15:08:11.206+02:00,   0.702E-02,  10.08683,   0.636E+03
   1400,2022-10-12T15:08:50.435+02:00,   0.735E-02,  10.80267,   0.685E+03
   1500,2022-10-12T15:09:29.230+02:00,   0.765E-02,  11.48381,   0.735E+03
   1600,2022-10-12T15:10:10.351+02:00,   0.684E-02,  12.21831,   0.786E+03
   1700,2022-10-12T15:10:50.228+02:00,   0.691E-02,  12.89938,   0.834E+03
   1800,2022-10-12T15:11:30.145+02:00,   0.654E-02,  13.59499,   0.888E+03
   1900,2022-10-12T15:12:10.054+02:00,   0.697E-02,  14.27610,   0.929E+03
   2000,2022-10-12T15:12:48.746+02:00,   0.622E-02,  14.97757,   0.981E+03
   2100,2022-10-12T15:13:27.640+02:00,   0.729E-02,  15.67421,   0.103E+04
   2200,2022-10-12T15:14:05.577+02:00,   0.605E-02,  16.36399,   0.109E+04
   2300,2022-10-12T15:14:45.733+02:00,   0.732E-02,  17.02380,   0.115E+04
   2400,2022-10-12T15:15:26.705+02:00,   0.714E-02,  17.72469,   0.119E+04
   2500,2022-10-12T15:16:06.429+02:00,   0.732E-02,  18.42497,   0.125E+04
   2600,2022-10-12T15:16:45.967+02:00,   0.652E-02,  19.09292,   0.131E+04
   2700,2022-10-12T15:17:23.991+02:00,   0.718E-02,  19.78702,   0.138E+04
   2800,2022-10-12T15:18:01.481+02:00,   0.633E-02,  20.49287,   0.145E+04
   2900,2022-10-12T15:18:39.564+02:00,   0.674E-02,  21.19119,   0.152E+04
   3000,2022-10-12T15:19:19.955+02:00,   0.715E-02,  21.90513,   0.158E+04
   3100,2022-10-12T15:20:01.889+02:00,   0.603E-02,  22.58483,   0.162E+04
   3200,2022-10-12T15:20:40.525+02:00,   0.777E-02,  23.29793,   0.169E+04
   3300,2022-10-12T15:21:19.160+02:00,   0.665E-02,  24.01948,   0.176E+04
   3400,2022-10-12T15:21:57.020+02:00,   0.671E-02,  24.70803,   0.182E+04
   3500,2022-10-12T15:22:33.304+02:00,   0.706E-02,  25.38124,   0.190E+04
   3600,2022-10-12T15:23:10.533+02:00,   0.688E-02,  26.06568,   0.198E+04
   3700,2022-10-12T15:23:48.106+02:00,   0.766E-02,  26.75050,   0.205E+04
   3800,2022-10-12T15:24:25.770+02:00,   0.673E-02,  27.41196,   0.212E+04
   3900,2022-10-12T15:25:03.506+02:00,   0.720E-02,  28.11545,   0.219E+04
   4000,2022-10-12T15:25:40.002+02:00,   0.688E-02,  28.80900,   0.226E+04
   4100,2022-10-12T15:26:17.346+02:00,   0.693E-02,  29.48373,   0.233E+04
   4177,2022-10-12T15:26:45.625+02:00,   0.274E-02,  30.00000,   0.239E+04
