s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_N-HEPTANE,MLR_PRODUCTS
 0.0000000E+000, 0.0000000E+000,-3.2018888E-005,-1.3386605E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.2019022E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 4.1188724E-002, 0.0000000E+000,-5.1182058E-007,-1.2456362E-003, 0.0000000E+000,-7.7715300E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.0233010E-003, 0.0000000E+000, 3.4223316E-004, 0.0000000E+000
 8.2377449E-002, 7.6185473E+000,-4.0721857E-007, 1.2731850E-001, 1.5609645E-007,-1.3567227E-003, 0.0000000E+000, 0.0000000E+000,-4.2805596E-003, 7.7445088E+000, 4.8213482E-002, 6.8330839E-004, 0.0000000E+000
 1.2356617E-001, 1.9384159E+001,-2.6762686E-001, 3.2032891E-001,-9.5180642E-002,-2.2834630E-003, 0.0000000E+000, 0.0000000E+000, 7.6715561E+000, 1.9339397E+001, 9.6263836E-002, 1.0220834E-003, 0.0000000E+000
 1.6475490E-001, 2.7712488E+001,-1.2298353E+000, 4.2950880E-001,-3.4126694E-001,-3.1235023E-003, 0.0000000E+000, 0.0000000E+000, 1.9064481E+001, 2.6567771E+001, 1.4399013E-001, 1.3574466E-003, 0.0000000E+000
 2.0594361E-001, 3.8448884E+001,-6.3340314E+000, 4.9658542E-001,-8.2499069E-001,-3.7889985E-003, 0.0000000E+000, 0.0000000E+000, 2.5374736E+001, 3.1782658E+001, 1.9123579E-001, 1.6883316E-003, 0.0000000E+000
 2.4713235E-001, 4.9212044E+001,-2.5022662E+001, 3.6787911E-001,-1.3311594E+000,-4.4978345E-003, 0.0000000E+000, 0.0000000E+000, 3.0572089E+001, 2.3221604E+001, 2.3785056E-001, 2.0137302E-003, 0.0000000E+000
 2.7361265E-001, 5.9428909E+001,-2.4082049E+001, 5.3083415E-001,-1.2930680E+000,-4.9936812E-003, 0.0000000E+000, 0.0000000E+000, 2.2957954E+001, 3.4579632E+001, 2.8369240E-001, 2.2195920E-003, 0.0000000E+000
 3.0009294E-001, 6.3663675E+001,-3.7680666E+001, 4.0151639E-001,-1.4305806E+000,-5.3945984E-003, 0.0000000E+000, 0.0000000E+000, 3.4081017E+001, 2.4948550E+001, 3.1269401E-001, 2.4225641E-003, 0.0000000E+000
 3.2922125E-001, 8.1013041E+001,-2.9661758E+001, 7.7205507E-001,-1.1931762E+000,-5.9468603E-003, 0.0000000E+000, 0.0000000E+000, 2.4851322E+001, 5.0924215E+001, 3.4128853E-001, 2.6422362E-003, 0.0000000E+000
 3.5128394E-001, 9.5004980E+001,-5.4125252E+001, 6.2746133E-001,-1.4202483E+000,-6.2561955E-003, 0.0000000E+000, 0.0000000E+000, 5.0201414E+001, 4.0080684E+001, 3.7223572E-001, 2.8059547E-003, 0.0000000E+000
