,,s,s,s
Time Step,Wall Time,Step Size,Simulation Time,CPU Time
      1,2022-10-12T15:57:11.639+02:00,   0.412E-01,   0.04119,   0.961E+01
      2,2022-10-12T15:57:12.145+02:00,   0.412E-01,   0.08238,   0.101E+02
      3,2022-10-12T15:57:12.825+02:00,   0.412E-01,   0.12357,   0.112E+02
      4,2022-10-12T15:57:13.339+02:00,   0.412E-01,   0.16475,   0.122E+02
      5,2022-10-12T15:57:13.870+02:00,   0.412E-01,   0.20594,   0.129E+02
      6,2022-10-12T15:57:14.651+02:00,   0.412E-01,   0.24713,   0.141E+02
      7,2022-10-12T15:57:15.381+02:00,   0.265E-01,   0.27361,   0.153E+02
      8,2022-10-12T15:57:15.910+02:00,   0.265E-01,   0.30009,   0.164E+02
      9,2022-10-12T15:57:16.644+02:00,   0.291E-01,   0.32922,   0.174E+02
     10,2022-10-12T15:57:17.415+02:00,   0.221E-01,   0.35128,   0.186E+02
     20,2022-10-12T15:57:24.462+02:00,   0.128E-01,   0.51848,   0.275E+02
     30,2022-10-12T15:57:30.749+02:00,   0.112E-01,   0.63348,   0.355E+02
     40,2022-10-12T15:57:36.805+02:00,   0.882E-02,   0.73496,   0.426E+02
     50,2022-10-12T15:57:42.610+02:00,   0.882E-02,   0.82311,   0.501E+02
     60,2022-10-12T15:57:48.665+02:00,   0.790E-02,   0.90298,   0.572E+02
     70,2022-10-12T15:57:54.565+02:00,   0.673E-02,   0.97380,   0.641E+02
     80,2022-10-12T15:58:00.045+02:00,   0.673E-02,   1.04113,   0.736E+02
     90,2022-10-12T15:58:05.805+02:00,   0.592E-02,   1.10522,   0.838E+02
    100,2022-10-12T15:58:11.405+02:00,   0.652E-02,   1.16742,   0.920E+02
    200,2022-10-12T15:59:12.207+02:00,   0.519E-02,   1.68684,   0.168E+03
    300,2022-10-12T16:00:16.761+02:00,   0.462E-02,   2.16893,   0.246E+03
    400,2022-10-12T16:01:21.847+02:00,   0.425E-02,   2.60147,   0.321E+03
    500,2022-10-12T16:02:33.377+02:00,   0.425E-02,   3.02680,   0.407E+03
    600,2022-10-12T16:03:37.381+02:00,   0.343E-02,   3.40669,   0.493E+03
    700,2022-10-12T16:04:42.323+02:00,   0.340E-02,   3.75407,   0.573E+03
    800,2022-10-12T16:05:46.077+02:00,   0.351E-02,   4.15081,   0.661E+03
    900,2022-10-12T16:06:45.955+02:00,   0.351E-02,   4.50227,   0.780E+03
   1000,2022-10-12T16:07:46.980+02:00,   0.351E-02,   4.85374,   0.888E+03
   1100,2022-10-12T16:08:49.975+02:00,   0.351E-02,   5.20520,   0.982E+03
