s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_N-HEPTANE,MLR_PRODUCTS
 0.0000000E+000, 0.0000000E+000,-9.9106953E-007, 1.2105388E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-9.8985899E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 8.2377449E-002, 4.6663889E-002, 1.9900107E-009, 7.8407735E-004, 6.4822791E-009,-1.6581014E-005, 0.0000000E+000, 0.0000000E+000,-1.2061070E-004, 4.7431394E-002, 2.4106741E-002, 5.6017394E-006, 0.0000000E+000
 1.2356617E-001, 1.9364235E-001,-2.6033569E-002, 2.8348391E-003,-9.7387551E-005,-3.2435987E-005, 0.0000000E+000, 0.0000000E+000, 9.4545644E-002, 1.7031379E-001, 9.6263836E-002, 1.1165700E-005, 0.0000000E+000
 2.0594361E-001, 4.1188239E-001,-6.4670733E-002, 5.8884498E-003,-6.9103576E-004,-4.7357966E-005, 0.0000000E+000, 0.0000000E+000, 2.2961317E-001, 3.5236172E-001, 1.6761296E-001, 1.6636728E-005, 0.0000000E+000
 2.4713235E-001, 6.5334804E-001,-9.1281786E-002, 9.5281984E-003,-2.0909841E-003,-6.1692780E-005, 0.0000000E+000, 0.0000000E+000, 4.1346653E-001, 5.6944178E-001, 2.3785056E-001, 2.1998898E-005, 0.0000000E+000
 3.2950979E-001, 9.1079801E-001,-1.1485492E-001, 1.3453372E-002,-5.0736846E-003,-7.5483791E-005, 0.0000000E+000, 0.0000000E+000, 6.4292492E-001, 8.0424730E-001, 3.0616073E-001, 2.7186023E-005, 0.0000000E+000
 3.7069851E-001, 1.1818632E+000,-1.3985701E-001, 1.7551519E-002,-9.7074203E-003,-8.8776877E-005, 0.0000000E+000, 0.0000000E+000, 8.8613896E-001, 1.0497615E+000, 3.7253951E-001, 3.2205551E-005, 0.0000000E+000
 4.5307598E-001, 1.4664447E+000,-1.6674778E-001, 2.1806319E-002,-1.6635299E-002,-1.0191065E-004, 0.0000000E+000, 0.0000000E+000, 1.1371291E+000, 1.3047660E+000, 4.3608716E-001, 3.6986988E-005, 0.0000000E+000
 4.9426469E-001, 1.7579101E+000,-2.3562201E-001, 2.5430671E-002,-2.5184591E-002,-1.1529251E-004, 0.0000000E+000, 0.0000000E+000, 1.3740676E+000, 1.5224189E+000, 4.9709084E-001, 4.1559457E-005, 0.0000000E+000
 5.7664216E-001, 2.0209730E+000,-3.8375653E-001, 2.7224011E-002,-3.4422120E-002,-1.2882994E-004, 0.0000000E+000, 0.0000000E+000, 1.5434872E+000, 1.6298895E+000, 5.5464716E-001, 4.5853947E-005, 0.0000000E+000
 6.1783087E-001, 2.2213985E+000,-4.6203394E-001, 2.9205321E-002,-4.2333040E-002,-1.4192502E-004, 0.0000000E+000, 0.0000000E+000, 1.6812230E+000, 1.7460949E+000, 6.0928879E-001, 4.9916969E-005, 0.0000000E+000
 7.0020831E-001, 2.3360120E+000,-5.3348460E-001, 2.9934584E-002,-4.6021419E-002,-1.5404566E-004, 0.0000000E+000, 0.0000000E+000, 1.7585339E+000, 1.7862865E+000, 6.6016940E-001, 5.3685094E-005, 0.0000000E+000
 7.4139702E-001, 2.3824656E+000,-5.9223961E-001, 2.9783973E-002,-4.5516093E-002,-1.6522992E-004, 0.0000000E+000, 0.0000000E+000, 1.7928548E+000, 1.7743286E+000, 7.0799787E-001, 5.7216526E-005, 0.0000000E+000
 7.8258574E-001, 2.3785220E+000,-6.8521805E-001, 2.8212034E-002,-4.2672933E-002,-1.7208755E-004, 0.0000000E+000, 0.0000000E+000, 1.7734019E+000, 1.6786709E+000, 7.3785031E-001, 5.9414397E-005, 0.0000000E+000
 8.6496323E-001, 2.3482630E+000,-7.0940665E-001, 2.7453807E-002,-3.6317715E-002,-1.8160261E-004, 0.0000000E+000, 0.0000000E+000, 1.6568877E+000, 1.6298108E+000, 7.7962185E-001, 6.2481818E-005, 0.0000000E+000
 9.0615195E-001, 2.3082519E+000,-7.2283424E-001, 2.6669758E-002,-2.9569229E-002,-1.9046996E-004, 0.0000000E+000, 0.0000000E+000, 1.6245447E+000, 1.5823277E+000, 8.1845026E-001, 6.5326136E-005, 1.1390531E-129
 9.8852938E-001, 2.3454345E+000,-7.5667019E-001, 2.6781598E-002,-2.4132361E-002,-1.9852135E-004, 0.0000000E+000, 0.0000000E+000, 1.5640857E+000, 1.5912151E+000, 8.5373004E-001, 6.7903240E-005, 3.3207088E-125
 1.0297182E+000, 2.4816668E+000,-7.0531946E-001, 2.9999479E-002,-2.0539929E-002,-2.0578703E-004, 0.0000000E+000, 0.0000000E+000, 1.6360465E+000, 1.7856012E+000, 8.8629688E-001, 7.0277280E-005, 2.9048382E-123
 1.1120956E+000, 2.7239959E+000,-6.4364781E-001, 3.5133391E-002,-1.9400733E-002,-2.1201461E-004, 0.0000000E+000, 0.0000000E+000, 1.8842955E+000, 2.0958688E+000, 9.1565260E-001, 7.2412222E-005, 6.8996581E-121
 1.1532843E+000, 3.0064440E+000,-6.0847383E-001, 4.0479904E-002,-2.0029768E-002,-2.1746378E-004, 0.0000000E+000, 0.0000000E+000, 2.2046369E+000, 2.4182028E+000, 9.4259394E-001, 7.4368238E-005, 1.6956172E-119
 1.2356617E+000, 3.2711808E+000,-5.8817583E-001, 4.5253070E-002,-2.2576502E-002,-2.2208182E-004, 0.0000000E+000, 0.0000000E+000, 2.5156677E+000, 2.7054594E+000, 9.6671879E-001, 7.6116388E-005, 1.0562172E-117
 1.2768505E+000, 3.4894105E+000,-6.0731735E-001, 4.8533374E-002,-2.6399200E-002,-2.2609790E-004, 0.0000000E+000, 0.0000000E+000, 2.7905779E+000, 2.9040012E+000, 9.8875360E-001, 7.7710864E-005, 1.7114721E-116
 1.3592279E+000, 3.6428615E+000,-6.4337099E-001, 5.0396190E-002,-3.1479183E-002,-2.2942195E-004, 0.0000000E+000, 0.0000000E+000, 2.9376711E+000, 3.0181781E+000, 1.0083781E+000, 7.9128694E-005, 5.9505194E-115
