,,s,s,s
Time Step,Wall Time,Step Size,Simulation Time,CPU Time
      1,2022-10-14T10:32:48.514+02:00,   0.412E-01,   0.04119,   0.148E+02
      2,2022-10-14T10:32:48.991+02:00,   0.412E-01,   0.08238,   0.160E+02
      3,2022-10-14T10:32:49.643+02:00,   0.412E-01,   0.12357,   0.181E+02
      4,2022-10-14T10:32:50.028+02:00,   0.412E-01,   0.16475,   0.192E+02
      5,2022-10-14T10:32:50.466+02:00,   0.412E-01,   0.20594,   0.205E+02
      6,2022-10-14T10:32:51.141+02:00,   0.412E-01,   0.24713,   0.224E+02
      7,2022-10-14T10:32:51.536+02:00,   0.412E-01,   0.28832,   0.234E+02
      8,2022-10-14T10:32:52.013+02:00,   0.412E-01,   0.32951,   0.245E+02
      9,2022-10-14T10:32:52.684+02:00,   0.412E-01,   0.37070,   0.260E+02
     10,2022-10-14T10:32:53.099+02:00,   0.412E-01,   0.41189,   0.271E+02
     20,2022-10-14T10:32:58.209+02:00,   0.412E-01,   0.82377,   0.398E+02
     30,2022-10-14T10:33:03.651+02:00,   0.412E-01,   1.23566,   0.534E+02
     40,2022-10-14T10:33:08.847+02:00,   0.412E-01,   1.64755,   0.666E+02
     50,2022-10-14T10:33:14.208+02:00,   0.308E-01,   2.01850,   0.809E+02
     60,2022-10-14T10:33:19.482+02:00,   0.308E-01,   2.32623,   0.928E+02
     70,2022-10-14T10:33:24.808+02:00,   0.308E-01,   2.63395,   0.106E+03
     80,2022-10-14T10:33:33.836+02:00,   0.308E-01,   2.94168,   0.121E+03
     90,2022-10-14T10:33:39.240+02:00,   0.267E-01,   3.22500,   0.132E+03
    100,2022-10-14T10:33:45.507+02:00,   0.267E-01,   3.49206,   0.140E+03
    200,2022-10-14T10:34:39.575+02:00,   0.199E-01,   5.86853,   0.226E+03
    300,2022-10-14T10:35:32.028+02:00,   0.241E-01,   8.32832,   0.335E+03
    400,2022-10-14T10:36:24.175+02:00,   0.256E-01,  10.80523,   0.446E+03
    500,2022-10-14T10:37:18.045+02:00,   0.229E-01,  13.12359,   0.556E+03
    600,2022-10-14T10:38:13.754+02:00,   0.168E-01,  15.34202,   0.645E+03
    700,2022-10-14T10:39:07.747+02:00,   0.133E-01,  16.96775,   0.743E+03
    800,2022-10-14T10:39:59.602+02:00,   0.153E-01,  18.40194,   0.846E+03
    900,2022-10-14T10:40:51.466+02:00,   0.215E-01,  20.49200,   0.970E+03
   1000,2022-10-14T10:41:43.722+02:00,   0.197E-01,  22.76001,   0.109E+04
   1100,2022-10-14T10:42:36.942+02:00,   0.251E-01,  25.05417,   0.122E+04
   1200,2022-10-14T10:43:31.868+02:00,   0.246E-01,  27.53957,   0.132E+04
   1300,2022-10-14T10:44:26.101+02:00,   0.229E-01,  29.85161,   0.142E+04
   1400,2022-10-14T10:45:19.279+02:00,   0.228E-01,  32.19490,   0.153E+04
   1500,2022-10-14T10:46:12.932+02:00,   0.252E-01,  34.57940,   0.162E+04
   1600,2022-10-14T10:47:05.847+02:00,   0.240E-01,  36.68717,   0.172E+04
   1700,2022-10-14T10:47:59.509+02:00,   0.253E-01,  38.93826,   0.183E+04
   1800,2022-10-14T10:48:52.778+02:00,   0.205E-01,  41.15763,   0.193E+04
   1900,2022-10-14T10:49:44.408+02:00,   0.186E-01,  43.25448,   0.204E+04
   2000,2022-10-14T10:50:36.535+02:00,   0.225E-01,  45.44802,   0.214E+04
   2100,2022-10-14T10:51:28.371+02:00,   0.212E-01,  47.61409,   0.225E+04
   2200,2022-10-14T10:52:22.285+02:00,   0.203E-01,  49.91102,   0.236E+04
   2300,2022-10-14T10:53:17.028+02:00,   0.228E-01,  52.06498,   0.245E+04
   2400,2022-10-14T10:54:11.432+02:00,   0.177E-01,  54.03962,   0.256E+04
   2500,2022-10-14T10:55:03.074+02:00,   0.228E-01,  56.12205,   0.268E+04
   2600,2022-10-14T10:55:56.150+02:00,   0.244E-01,  58.41399,   0.279E+04
   2674,2022-10-14T10:56:33.798+02:00,   0.274E-02,  60.00000,   0.289E+04
