,,s,s,s
Time Step,Wall Time,Step Size,Simulation Time,CPU Time
      1,2022-10-09T17:42:05.950+02:00,   0.381E-01,   0.03808,   0.148E+02
      2,2022-10-09T17:42:06.053+02:00,   0.419E-01,   0.07998,   0.152E+02
      3,2022-10-09T17:42:06.212+02:00,   0.331E-01,   0.11312,   0.158E+02
      4,2022-10-09T17:42:06.357+02:00,   0.292E-01,   0.14231,   0.164E+02
      5,2022-10-09T17:42:06.478+02:00,   0.255E-01,   0.16785,   0.169E+02
      6,2022-10-09T17:42:06.616+02:00,   0.255E-01,   0.19339,   0.174E+02
      7,2022-10-09T17:42:06.746+02:00,   0.212E-01,   0.21463,   0.180E+02
      8,2022-10-09T17:42:06.860+02:00,   0.212E-01,   0.23586,   0.184E+02
      9,2022-10-09T17:42:07.019+02:00,   0.191E-01,   0.25495,   0.190E+02
     10,2022-10-09T17:42:07.120+02:00,   0.191E-01,   0.27404,   0.195E+02
     20,2022-10-09T17:42:08.280+02:00,   0.147E-01,   0.43373,   0.240E+02
     30,2022-10-09T17:42:09.501+02:00,   0.114E-01,   0.55707,   0.289E+02
     40,2022-10-09T17:42:10.661+02:00,   0.102E-01,   0.66408,   0.334E+02
     50,2022-10-09T17:42:11.774+02:00,   0.917E-02,   0.75994,   0.379E+02
     60,2022-10-09T17:42:12.675+02:00,   0.826E-02,   0.84985,   0.414E+02
     70,2022-10-09T17:42:13.451+02:00,   0.826E-02,   0.93241,   0.445E+02
     80,2022-10-09T17:42:14.244+02:00,   0.742E-02,   1.01415,   0.477E+02
     90,2022-10-09T17:42:15.001+02:00,   0.742E-02,   1.08839,   0.507E+02
    100,2022-10-09T17:42:15.778+02:00,   0.742E-02,   1.16264,   0.538E+02
    157,2022-10-09T17:42:21.930+02:00,   0.116E-04,   1.46837,   0.782E+02
