s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,Pa
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_N-HEPTANE,MLR_PRODUCTS,ZONE_1
 0.0000000E+000, 0.0000000E+000,-1.5182004E-004, 5.2021306E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.5181484E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.0006811E-001
 5.5901699E-002, 0.0000000E+000,-3.3783789E-006,-1.3822799E-002, 0.0000000E+000,-2.7876740E-003, 7.3274485E-002, 0.0000000E+000, 0.0000000E+000, 5.6660634E-002, 0.0000000E+000, 2.0382893E-003, 0.0000000E+000,-3.0006811E-001
 1.1180340E-001, 0.0000000E+000,-1.5515723E-005,-2.9223444E-002,-1.2486645E-005,-3.9986143E-003, 1.4033198E-001, 0.0000000E+000, 8.0968617E-002, 1.0708192E-001, 0.0000000E+000, 4.0639052E-003, 0.0000000E+000,-3.9802710E-002
 1.6770510E-001, 0.0000000E+000,-3.2858174E-005,-4.4788312E-002,-3.2890063E-005,-4.7493519E-003, 2.0773342E-001, 0.0000000E+000, 1.3204369E-001, 1.5813000E-001, 0.0000000E+000, 6.0644878E-003, 0.0000000E+000, 3.8594248E-001
 2.2360680E-001, 0.0000000E+000,-6.0366668E-005,-6.0170981E-002,-6.1131272E-005,-5.3361214E-003, 2.7398423E-001, 0.0000000E+000, 1.8291244E-001, 2.0835563E-001, 0.0000000E+000, 8.0282872E-003, 0.0000000E+000, 9.7589284E-001
 2.7950850E-001, 0.0000000E+000,-9.5368759E-005,-7.5039303E-002,-9.7024896E-005,-5.9527713E-003, 3.3859169E-001, 0.0000000E+000, 2.3270893E-001, 2.5740723E-001, 0.0000000E+000, 9.9444295E-003, 0.0000000E+000, 1.7265896E+000
 3.3541021E-001, 0.0000000E+000,-1.3345536E-004,-8.9161175E-002,-1.4033529E-004,-6.8433277E-003, 4.0123502E-001, 0.0000000E+000, 2.8114507E-001, 3.0495673E-001, 0.0000000E+000, 1.1803139E-002, 0.0000000E+000, 2.6335129E+000
 3.9131188E-001, 0.0000000E+000,-1.8277382E-004,-1.0208363E-001,-1.9078998E-004,-8.3767177E-003, 4.6135890E-001, 0.0000000E+000, 3.2788323E-001, 3.5052500E-001, 0.0000000E+000, 1.3595909E-002, 0.0000000E+000, 3.6913300E+000
 4.4721359E-001, 0.0000000E+000,-2.3884018E-004,-1.1417065E-001,-2.4808009E-004,-1.0221306E-002, 5.1942554E-001, 0.0000000E+000, 3.7260782E-001, 3.9454666E-001, 0.0000000E+000, 1.5315615E-002, 0.0000000E+000, 4.8939136E+000
 5.0311530E-001, 0.0000000E+000,-2.9351228E-004,-1.2556980E-001,-3.1192240E-004,-1.2173616E-002, 5.7508584E-001, 0.0000000E+000, 4.1559035E-001, 4.3673699E-001, 0.0000000E+000, 1.6956573E-002, 0.0000000E+000, 6.2356185E+000
 5.5901700E-001, 0.0000000E+000,-3.6225762E-004,-1.3627868E-001,-3.8200609E-004,-1.4123169E-002, 6.2804680E-001, 0.0000000E+000, 4.5665609E-001, 4.7690070E-001, 0.0000000E+000, 1.8514542E-002, 0.0000000E+000, 7.7101790E+000
 6.1491871E-001, 0.0000000E+000,-4.3687919E-004,-1.4634527E-001,-4.5799354E-004,-1.6052875E-002, 6.7809814E-001, 0.0000000E+000, 4.9569483E-001, 5.1480513E-001, 0.0000000E+000, 1.9986678E-002, 0.0000000E+000, 9.3107720E+000
 6.7082042E-001, 0.0000000E+000,-5.0508586E-004,-1.5583265E-001,-5.3953795E-004,-1.7873449E-002, 7.2524881E-001, 0.0000000E+000, 5.3246908E-001, 5.5049808E-001, 0.0000000E+000, 2.1371454E-002, 0.0000000E+000, 1.1030303E+001
 7.2672212E-001, 0.0000000E+000,-5.9046569E-004,-1.6472006E-001,-6.2639296E-004,-1.9551790E-002, 7.6941574E-001, 0.0000000E+000, 5.6706609E-001, 5.8392704E-001, 0.0000000E+000, 2.2668539E-002, 0.0000000E+000, 1.2861616E+001
 7.8262377E-001, 0.0000000E+000,-6.8071928E-004,-1.7305462E-001,-7.1833786E-004,-2.1069628E-002, 8.1060459E-001, 0.0000000E+000, 5.9943008E-001, 6.1508128E-001, 0.0000000E+000, 2.3878669E-002, 0.0000000E+000, 1.4797457E+001
 8.3852547E-001, 0.0000000E+000,-7.5852569E-004,-1.8102755E-001,-8.1504824E-004,-2.2410086E-002, 8.4888218E-001, 0.0000000E+000, 6.2954935E-001, 6.4387097E-001, 0.0000000E+000, 2.5003496E-002, 0.0000000E+000, 1.6830645E+001
 8.9442718E-001, 0.0000000E+000,-8.5753356E-004,-1.8866945E-001,-9.1626991E-004,-2.3546957E-002, 8.8434062E-001, 0.0000000E+000, 6.5730713E-001, 6.7035041E-001, 0.0000000E+000, 2.6045434E-002, 0.0000000E+000, 1.8954204E+001
 9.5032889E-001, 0.0000000E+000,-9.6043979E-004,-1.9581078E-001,-1.0216632E-003,-2.4460144E-002, 9.1707597E-001, 0.0000000E+000, 6.8280196E-001, 6.9482294E-001, 0.0000000E+000, 2.7007515E-002, 0.0000000E+000, 2.1161333E+001
 1.0062306E+000, 0.0000000E+000,-1.0423853E-003,-2.0268925E-001,-1.1309024E-003,-2.5115839E-002, 9.4722955E-001, 0.0000000E+000, 7.0624758E-001, 7.1725117E-001, 0.0000000E+000, 2.7893244E-002, 0.0000000E+000, 2.3445527E+001
 1.0621322E+000, 0.0000000E+000,-1.1521969E-003,-2.0954663E-001,-1.2436875E-003,-2.5509191E-002, 9.7491136E-001, 0.0000000E+000, 7.2764902E-001, 7.3745965E-001, 0.0000000E+000, 2.8706468E-002, 0.0000000E+000, 2.5800634E+001
 1.1180340E+000, 0.0000000E+000,-1.2650438E-003,-2.1594348E-001,-1.3597420E-003,-2.5669015E-002, 1.0002313E+000, 0.0000000E+000, 7.4692681E-001, 7.5599403E-001, 0.0000000E+000, 2.9451266E-002, 0.0000000E+000, 2.8220728E+001
 1.1739357E+000, 0.0000000E+000,-1.3471722E-003,-2.2168954E-001,-1.4787917E-003,-2.5629179E-002, 1.0233411E+000, 0.0000000E+000, 7.6458931E-001, 7.7319643E-001, 0.0000000E+000, 3.0131837E-002, 0.0000000E+000, 3.0700218E+001
 1.2298374E+000, 0.0000000E+000,-1.4653225E-003,-2.2721806E-001,-1.6005507E-003,-2.5421248E-002, 1.0443797E+000, 0.0000000E+000, 7.8090612E-001, 7.8867455E-001, 0.0000000E+000, 3.0752424E-002, 0.0000000E+000, 3.3233889E+001
 1.2857391E+000, 0.0000000E+000,-1.5857731E-003,-2.3221444E-001,-1.7248808E-003,-2.5126829E-002, 1.0634514E+000, 0.0000000E+000, 7.9558402E-001, 8.0279947E-001, 0.0000000E+000, 3.1317237E-002, 0.0000000E+000, 3.5816774E+001
 1.3416408E+000, 0.0000000E+000,-1.6694867E-003,-2.3672187E-001,-1.8515766E-003,-2.4808105E-002, 1.0807279E+000, 0.0000000E+000, 8.0900218E-001, 8.1567683E-001, 0.0000000E+000, 3.1830401E-002, 0.0000000E+000, 3.8444259E+001
 1.3975425E+000, 0.0000000E+000,-1.7939111E-003,-2.4060919E-001,-1.9804865E-003,-2.4517862E-002, 1.0963442E+000, 0.0000000E+000, 8.2128326E-001, 8.2744276E-001, 0.0000000E+000, 3.2295904E-002, 0.0000000E+000, 4.1112131E+001
 1.4534442E+000, 0.0000000E+000,-1.9200422E-003,-2.4412317E-001,-2.1114609E-003,-2.4279478E-002, 1.1104504E+000, 0.0000000E+000, 8.3247815E-001, 8.3801626E-001, 0.0000000E+000, 3.2717571E-002, 0.0000000E+000, 4.3816459E+001
 1.5093459E+000, 0.0000000E+000,-2.0085252E-003,-2.4718373E-001,-2.2443492E-003,-2.4104182E-002, 1.1231908E+000, 0.0000000E+000, 8.4258557E-001, 8.4765003E-001, 0.0000000E+000, 3.3099036E-002, 0.0000000E+000, 4.6553692E+001
 1.5652475E+000, 0.0000000E+000,-2.1375843E-003,-2.4998263E-001,-2.3789618E-003,-2.3969186E-002, 1.1346989E+000, 0.0000000E+000, 8.5178967E-001, 8.5623057E-001, 0.0000000E+000, 3.3443728E-002, 0.0000000E+000, 4.9320657E+001
 1.6211493E+000, 0.0000000E+000,-2.2678980E-003,-2.5253927E-001,-2.5153299E-003,-2.3863630E-002, 1.1450690E+000, 0.0000000E+000, 8.5997333E-001, 8.6388287E-001, 0.0000000E+000, 3.3754863E-002, 0.0000000E+000, 5.2114408E+001
 1.6770509E+000, 0.0000000E+000,-2.3594014E-003,-2.5487673E-001,-2.6532453E-003,-2.3776376E-002, 1.1544156E+000, 0.0000000E+000, 8.6726843E-001, 8.7074990E-001, 0.0000000E+000, 3.4035440E-002, 0.0000000E+000, 5.4932295E+001
 1.7329527E+000, 0.0000000E+000,-2.4918606E-003,-2.5696945E-001,-2.7925171E-003,-2.3699542E-002, 1.1628257E+000, 0.0000000E+000, 8.7383735E-001, 8.7687233E-001, 0.0000000E+000, 3.4288242E-002, 0.0000000E+000, 5.7771948E+001
 1.7888544E+000, 0.0000000E+000,-2.6252358E-003,-2.5888437E-001,-2.9332586E-003,-2.3620224E-002, 1.1703813E+000, 0.0000000E+000, 8.7966355E-001, 8.8231824E-001, 0.0000000E+000, 3.4515843E-002, 0.0000000E+000, 6.0631144E+001
 1.8447561E+000, 0.0000000E+000,-2.7143547E-003,-2.6066501E-001,-3.0752397E-003,-2.3531547E-002, 1.1771700E+000, 0.0000000E+000, 8.8482806E-001, 8.8718385E-001, 0.0000000E+000, 3.4720611E-002, 0.0000000E+000, 6.3507897E+001
 1.9006578E+000, 0.0000000E+000,-2.8492889E-003,-2.6229752E-001,-3.2182764E-003,-2.3435823E-002, 1.1832550E+000, 0.0000000E+000, 8.8945044E-001, 8.9145404E-001, 0.0000000E+000, 3.4904721E-002, 0.0000000E+000, 6.6400448E+001
 1.9565595E+000, 0.0000000E+000,-2.9848864E-003,-2.6378606E-001,-3.3625262E-003,-2.3335842E-002, 1.1886969E+000, 0.0000000E+000, 8.9347888E-001, 8.9522754E-001, 0.0000000E+000, 3.5070165E-002, 0.0000000E+000, 6.9307117E+001
 2.0124612E+000, 0.0000000E+000,-3.0692301E-003,-2.6511330E-001,-3.5077407E-003,-2.3240152E-002, 1.1935695E+000, 0.0000000E+000, 8.9704182E-001, 8.9863904E-001, 0.0000000E+000, 3.5218758E-002, 0.0000000E+000, 7.2226415E+001
 2.0683630E+000, 0.0000000E+000,-3.2059489E-003,-2.6628867E-001,-3.6539014E-003,-2.3153351E-002, 1.1979254E+000, 0.0000000E+000, 9.0027538E-001, 9.0162350E-001, 0.0000000E+000, 3.5352157E-002, 0.0000000E+000, 7.5157055E+001
 2.1242645E+000, 0.0000000E+000,-3.3431415E-003,-2.6734187E-001,-3.8009761E-003,-2.3075342E-002, 1.2018060E+000, 0.0000000E+000, 9.0306954E-001, 9.0424464E-001, 0.0000000E+000, 3.5471865E-002, 0.0000000E+000, 7.8097779E+001
 2.1801662E+000, 0.0000000E+000,-3.4273486E-003,-2.6828590E-001,-3.9489452E-003,-2.3007557E-002, 1.2052742E+000, 0.0000000E+000, 9.0553195E-001, 9.0660442E-001, 0.0000000E+000, 3.5579250E-002, 0.0000000E+000, 8.1047497E+001
 2.2360680E+000, 0.0000000E+000,-3.5653425E-003,-2.6913783E-001,-4.0977879E-003,-2.2948835E-002, 1.2083672E+000, 0.0000000E+000, 9.0775734E-001, 9.0861736E-001, 0.0000000E+000, 3.5675547E-002, 0.0000000E+000, 8.4005283E+001
 2.2919698E+000, 0.0000000E+000,-3.7036751E-003,-2.6990046E-001,-4.2473795E-003,-2.2900663E-002, 1.2111115E+000, 0.0000000E+000, 9.0962519E-001, 9.1035933E-001, 0.0000000E+000, 3.5761875E-002, 0.0000000E+000, 8.6970214E+001
 2.3478713E+000, 0.0000000E+000,-3.7926702E-003,-2.7057822E-001,-4.3974931E-003,-2.2861840E-002, 1.2135599E+000, 0.0000000E+000, 9.1124721E-001, 9.1192972E-001, 0.0000000E+000, 3.5839247E-002, 0.0000000E+000, 8.9941495E+001
 2.4037731E+000, 0.0000000E+000,-3.9315643E-003,-2.7118785E-001,-4.5483153E-003,-2.2831010E-002, 1.2157357E+000, 0.0000000E+000, 9.1271793E-001, 9.1323698E-001, 0.0000000E+000, 3.5908576E-002, 0.0000000E+000, 9.2918466E+001
 2.4596748E+000, 0.0000000E+000,-4.0706982E-003,-2.7174065E-001,-4.6999091E-003,-2.2806709E-002, 1.2176572E+000, 0.0000000E+000, 9.1391090E-001, 9.1433928E-001, 0.0000000E+000, 3.5970683E-002, 0.0000000E+000, 9.5900447E+001
 2.5155764E+000, 0.0000000E+000,-4.1625578E-003,-2.7224561E-001,-4.8520934E-003,-2.2786180E-002, 1.2193695E+000, 0.0000000E+000, 9.1491765E-001, 9.1532310E-001, 0.0000000E+000, 3.6026311E-002, 0.0000000E+000, 9.8886870E+001
 2.5714781E+000, 0.0000000E+000,-4.3020889E-003,-2.7270752E-001,-5.0047753E-003,-2.2768747E-002, 1.2208851E+000, 0.0000000E+000, 9.1582349E-001, 9.1610196E-001, 0.0000000E+000, 3.6076127E-002, 0.0000000E+000, 1.0187727E+002
 2.6273799E+000, 0.0000000E+000,-4.4417875E-003,-2.7312824E-001,-5.1581258E-003,-2.2751385E-002, 1.2222145E+000, 0.0000000E+000, 9.1650429E-001, 9.1673498E-001, 0.0000000E+000, 3.6120731E-002, 0.0000000E+000, 1.0487115E+002
 2.6832817E+000, 0.0000000E+000,-4.5305050E-003,-2.7350346E-001,-5.3121773E-003,-2.2735372E-002, 1.2233952E+000, 0.0000000E+000, 9.1705917E-001, 9.1731367E-001, 0.0000000E+000, 3.6160663E-002, 0.0000000E+000, 1.0786809E+002
 2.7391832E+000, 0.0000000E+000,-4.6704750E-003,-2.7383219E-001,-5.4671969E-003,-2.2721876E-002, 1.2244334E+000, 0.0000000E+000, 9.1758331E-001, 9.1774163E-001, 0.0000000E+000, 3.6196409E-002, 0.0000000E+000, 1.1086777E+002
 2.7950850E+000, 0.0000000E+000,-4.8105608E-003,-2.7412280E-001,-5.6235871E-003,-2.2709495E-002, 1.2253354E+000, 0.0000000E+000, 9.1793956E-001, 9.1806895E-001, 0.0000000E+000, 3.6228404E-002, 0.0000000E+000, 1.1386982E+002
 2.8509867E+000, 0.0000000E+000,-4.8940159E-003,-2.7437694E-001,-5.7804382E-003,-2.2697729E-002, 1.2261359E+000, 0.0000000E+000, 9.1821387E-001, 9.1838674E-001, 0.0000000E+000, 3.6257037E-002, 0.0000000E+000, 1.1687394E+002
 2.9068885E+000, 0.0000000E+000,-5.0342837E-003,-2.7459926E-001,-5.9377839E-003,-2.2686046E-002, 1.2268348E+000, 0.0000000E+000, 9.1849875E-001, 9.1857746E-001, 0.0000000E+000, 3.6282661E-002, 0.0000000E+000, 1.1987993E+002
 2.9627900E+000, 0.0000000E+000,-5.1746285E-003,-2.7479658E-001,-6.0952030E-003,-2.2673850E-002, 1.2274307E+000, 0.0000000E+000, 9.1863749E-001, 9.1869049E-001, 0.0000000E+000, 3.6305590E-002, 0.0000000E+000, 1.2288749E+002
 3.0186918E+000, 0.0000000E+000,-5.2580121E-003,-2.7496940E-001,-6.2525747E-003,-2.2662036E-002, 1.2279561E+000, 0.0000000E+000, 9.1871509E-001, 9.1881405E-001, 0.0000000E+000, 3.6326106E-002, 0.0000000E+000, 1.2589642E+002
 3.0745935E+000, 0.0000000E+000,-5.3984785E-003,-2.7512212E-001,-6.4100432E-003,-2.2650626E-002, 1.2284083E+000, 0.0000000E+000, 9.1881923E-001, 9.1882706E-001, 0.0000000E+000, 3.6344461E-002, 0.0000000E+000, 1.2890656E+002
 3.1304951E+000, 0.0000000E+000,-5.5389943E-003,-2.7526844E-001,-6.5670443E-003,-2.2636588E-002, 1.2287830E+000, 0.0000000E+000, 9.1878572E-001, 9.1877195E-001, 0.0000000E+000, 3.6360883E-002, 0.0000000E+000, 1.3191771E+002
 3.1863968E+000, 0.0000000E+000,-5.6274400E-003,-2.7540078E-001,-6.7236432E-003,-2.2622784E-002, 1.2291094E+000, 0.0000000E+000, 9.1870723E-001, 9.1873480E-001, 0.0000000E+000, 3.6375574E-002, 0.0000000E+000, 1.3492971E+002
 3.2422986E+000, 0.0000000E+000,-5.7680328E-003,-2.7552064E-001,-6.8798192E-003,-2.2606249E-002, 1.2293842E+000, 0.0000000E+000, 9.1865665E-001, 9.1860945E-001, 0.0000000E+000, 3.6388715E-002, 0.0000000E+000, 1.3794246E+002
 3.2982004E+000, 0.0000000E+000,-5.9086601E-003,-2.7562451E-001,-7.0355824E-003,-2.2588722E-002, 1.2296025E+000, 0.0000000E+000, 9.1850493E-001, 9.1844501E-001, 0.0000000E+000, 3.6400471E-002, 0.0000000E+000, 1.4095581E+002
 3.3541019E+000, 0.0000000E+000,-6.0000973E-003,-2.7571234E-001,-7.1910751E-003,-2.2570339E-002, 1.2297890E+000, 0.0000000E+000, 9.1832542E-001, 9.1831520E-001, 0.0000000E+000, 3.6410986E-002, 0.0000000E+000, 1.4396965E+002
 3.4100037E+000, 0.0000000E+000,-6.1407662E-003,-2.7579812E-001,-7.3460728E-003,-2.2550104E-002, 1.2299382E+000, 0.0000000E+000, 9.1818748E-001, 9.1810317E-001, 0.0000000E+000, 3.6420392E-002, 0.0000000E+000, 1.4698391E+002
 3.4659054E+000, 0.0000000E+000,-6.2814522E-003,-2.7586962E-001,-7.5007077E-003,-2.2531038E-002, 1.2300428E+000, 0.0000000E+000, 9.1796146E-001, 9.1786002E-001, 0.0000000E+000, 3.6428805E-002, 0.0000000E+000, 1.4999848E+002
 3.5218070E+000, 0.0000000E+000,-6.3696754E-003,-2.7593875E-001,-7.6547920E-003,-2.2509219E-002, 1.2301319E+000, 0.0000000E+000, 9.1771022E-001, 9.1765941E-001, 0.0000000E+000, 3.6436329E-002, 0.0000000E+000, 1.5301328E+002
 3.5777087E+000, 0.0000000E+000,-6.5103817E-003,-2.7600565E-001,-7.8083562E-003,-2.2487504E-002, 1.2301895E+000, 0.0000000E+000, 9.1751177E-001, 9.1737765E-001, 0.0000000E+000, 3.6443059E-002, 0.0000000E+000, 1.5602827E+002
 3.6336105E+000, 0.0000000E+000,-6.6510976E-003,-2.7606817E-001,-7.9615282E-003,-2.2463214E-002, 1.2302138E+000, 0.0000000E+000, 9.1721445E-001, 9.1706981E-001, 0.0000000E+000, 3.6449078E-002, 0.0000000E+000, 1.5904336E+002
 3.6895123E+000, 0.0000000E+000,-6.7340289E-003,-2.7613413E-001,-8.1140188E-003,-2.2438177E-002, 1.2302271E+000, 0.0000000E+000, 9.1689887E-001, 9.1680675E-001, 0.0000000E+000, 3.6454461E-002, 0.0000000E+000, 1.6205848E+002
 3.7454138E+000, 0.0000000E+000,-6.8747485E-003,-2.7619509E-001,-8.2661155E-003,-2.2411966E-002, 1.2302224E+000, 0.0000000E+000, 9.1663875E-001, 9.1647449E-001, 0.0000000E+000, 3.6459276E-002, 0.0000000E+000, 1.6507364E+002
