s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,Pa
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_N-HEPTANE,MLR_PRODUCTS,ZONE_1
 0.0000000E+000, 0.0000000E+000,-2.5113693E-004, 2.0012551E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.5111692E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.9075825E-001
 5.4772258E-001, 4.6103242E+001,-7.0417832E+000,-5.1231966E-003,-4.6961800E-001,-3.8911068E-003, 1.3157108E+001, 0.0000000E+000, 3.9416034E+001, 5.1739935E+001, 0.0000000E+000, 1.5147059E-003, 0.0000000E+000, 1.4785822E+002
 1.0173205E+000, 1.4770876E+002,-6.9088750E+001,-1.9506898E-002,-2.6781691E+000,-8.8256441E-003, 2.9039828E+001, 0.0000000E+000, 1.0174682E+002, 1.0495334E+002, 0.0000000E+000, 3.3026136E-003, 0.0000000E+000, 4.7273697E+002
 1.5059716E+000, 1.8967402E+002,-6.7774267E+001,-2.3208604E-002,-4.1871494E+000,-1.1721690E-002, 4.6756432E+001, 0.0000000E+000, 1.6343830E+002, 1.6443411E+002, 0.0000000E+000, 4.2550499E-003, 0.0000000E+000, 1.0252058E+003
 2.0013134E+000, 2.0812018E+002,-7.5606331E+001,-2.5821538E-002,-6.8400927E+000,-1.2872320E-002, 4.9773242E+001, 0.0000000E+000, 1.7530802E+002, 1.7540830E+002, 0.0000000E+000, 4.7104056E-003, 0.0000000E+000, 1.6235072E+003
 2.5087860E+000, 2.1060967E+002,-7.6155863E+001,-2.6435306E-002,-1.2251154E+001,-1.3626680E-002, 4.8492805E+001, 0.0000000E+000, 1.7053651E+002, 1.7065540E+002, 0.0000000E+000, 4.8964291E-003, 0.0000000E+000, 2.2206184E+003
 3.0062110E+000, 2.1858434E+002,-7.8752157E+001,-2.6703272E-002,-1.7835076E+001,-1.3938142E-002, 4.8646433E+001, 0.0000000E+000, 1.7060693E+002, 1.7060290E+002, 0.0000000E+000, 4.9672364E-003, 0.0000000E+000, 2.8079807E+003
 3.5067449E+000, 2.2350540E+002,-8.0829358E+001,-2.6735405E-002,-2.4341207E+001,-1.4111895E-002, 4.7366156E+001, 0.0000000E+000, 1.6568448E+002, 1.6566014E+002, 0.0000000E+000, 4.9932695E-003, 0.0000000E+000, 3.3834197E+003
 4.0085349E+000, 2.2636747E+002,-8.1405509E+001,-2.6794315E-002,-2.7713070E+001,-1.4192906E-002, 4.7163319E+001, 0.0000000E+000, 1.6436712E+002, 1.6437122E+002, 0.0000000E+000, 5.0029236E-003, 0.0000000E+000, 3.9577590E+003
 4.5070968E+000, 2.3749509E+002,-8.5178340E+001,-2.6583573E-002,-2.7916607E+001,-1.4391658E-002, 5.0277977E+001, 0.0000000E+000, 1.7442350E+002, 1.7463715E+002, 0.0000000E+000, 5.0064749E-003, 0.0000000E+000, 4.5655992E+003
 5.0015140E+000, 2.1931241E+002,-7.7853112E+001,-2.6650067E-002,-2.6394350E+001,-1.4375274E-002, 4.6546543E+001, 0.0000000E+000, 1.6186899E+002, 1.6157046E+002, 0.0000000E+000, 5.0077767E-003, 0.0000000E+000, 5.1246776E+003
 5.5015473E+000, 2.2366412E+002,-8.1194647E+001,-2.6668597E-002,-2.6691964E+001,-1.4353236E-002, 4.6305651E+001, 0.0000000E+000, 1.6185415E+002, 1.6204214E+002, 0.0000000E+000, 5.0082581E-003, 0.0000000E+000, 5.6862688E+003
 6.0100942E+000, 2.2617030E+002,-8.2236949E+001,-2.6680368E-002,-2.9100450E+001,-1.4301841E-002, 4.6049153E+001, 0.0000000E+000, 1.6097027E+002, 1.6084107E+002, 0.0000000E+000, 5.0084376E-003, 0.0000000E+000, 6.2549181E+003
 6.5009727E+000, 2.1944279E+002,-7.9727247E+001,-2.6591799E-002,-3.0952664E+001,-1.4318573E-002, 4.3707583E+001, 0.0000000E+000, 1.5244351E+002, 1.5242956E+002, 0.0000000E+000, 5.0085030E-003, 0.0000000E+000, 6.7757161E+003
 7.0043349E+000, 2.2568446E+002,-8.2854716E+001,-2.6689215E-002,-3.2797932E+001,-1.4311993E-002, 4.4020161E+001, 0.0000000E+000, 1.5397373E+002, 1.5401097E+002, 0.0000000E+000, 5.0085269E-003, 0.0000000E+000, 7.3132961E+003
 7.5092983E+000, 2.2678172E+002,-8.2497822E+001,-2.6675502E-002,-3.4015552E+001,-1.4282082E-002, 4.4262829E+001, 0.0000000E+000, 1.5439409E+002, 1.5449021E+002, 0.0000000E+000, 5.0085359E-003, 0.0000000E+000, 7.8555087E+003
 8.0080690E+000, 2.2897287E+002,-8.4255690E+001,-2.6634255E-002,-3.4689498E+001,-1.4332548E-002, 4.4267297E+001, 0.0000000E+000, 1.5433776E+002, 1.5425401E+002, 0.0000000E+000, 5.0085391E-003, 0.0000000E+000, 8.3915241E+003
 8.5084772E+000, 2.2336886E+002,-8.2299073E+001,-2.6769528E-002,-3.4427874E+001,-1.4283999E-002, 4.2879754E+001, 0.0000000E+000, 1.4952761E+002, 1.4948061E+002, 0.0000000E+000, 5.0085403E-003, 0.0000000E+000, 8.9123639E+003
 9.0012369E+000, 2.2643087E+002,-8.3763182E+001,-2.6614803E-002,-3.5936273E+001,-1.4351818E-002, 4.2935239E+001, 0.0000000E+000, 1.4952548E+002, 1.4962569E+002, 0.0000000E+000, 5.0085408E-003, 0.0000000E+000, 9.4256111E+003
 9.5036116E+000, 2.2420377E+002,-8.2878466E+001,-2.6499659E-002,-3.5860811E+001,-1.4477625E-002, 4.2592504E+001, 0.0000000E+000, 1.4804938E+002, 1.4801602E+002, 0.0000000E+000, 5.0085409E-003, 0.0000000E+000, 9.9449452E+003
 1.0000000E+001, 2.2977421E+002,-8.6250944E+001,-2.6397625E-002,-3.6787080E+001,-1.4601542E-002, 4.2843943E+001, 0.0000000E+000, 1.4949442E+002, 1.4953913E+002, 0.0000000E+000, 5.0085410E-003, 0.0000000E+000, 1.0461040E+004
