,,s,s,s
Time Step,Wall Time,Step Size,Simulation Time,CPU Time
      1,2022-10-03T12:16:43.731+02:00,   0.913E-01,   0.09129,   0.902E+01
      2,2022-10-03T12:16:43.817+02:00,   0.913E-01,   0.18257,   0.933E+01
      3,2022-10-03T12:16:43.937+02:00,   0.913E-01,   0.27386,   0.983E+01
      4,2022-10-03T12:16:44.024+02:00,   0.913E-01,   0.36515,   0.102E+02
      5,2022-10-03T12:16:44.113+02:00,   0.913E-01,   0.45644,   0.105E+02
      6,2022-10-03T12:16:44.243+02:00,   0.913E-01,   0.54772,   0.111E+02
      7,2022-10-03T12:16:44.357+02:00,   0.640E-01,   0.61168,   0.115E+02
      8,2022-10-03T12:16:44.472+02:00,   0.549E-01,   0.66656,   0.120E+02
      9,2022-10-03T12:16:44.619+02:00,   0.451E-01,   0.71164,   0.126E+02
     10,2022-10-03T12:16:44.707+02:00,   0.451E-01,   0.75671,   0.129E+02
     20,2022-10-03T12:16:45.813+02:00,   0.214E-01,   1.03872,   0.173E+02
     30,2022-10-03T12:16:46.798+02:00,   0.187E-01,   1.24184,   0.213E+02
     40,2022-10-03T12:16:47.754+02:00,   0.167E-01,   1.42262,   0.251E+02
     50,2022-10-03T12:16:48.685+02:00,   0.167E-01,   1.58932,   0.288E+02
     60,2022-10-03T12:16:49.674+02:00,   0.142E-01,   1.74618,   0.328E+02
     70,2022-10-03T12:16:50.638+02:00,   0.127E-01,   1.88678,   0.366E+02
     80,2022-10-03T12:16:51.649+02:00,   0.127E-01,   2.01404,   0.407E+02
     90,2022-10-03T12:16:52.622+02:00,   0.140E-01,   2.14384,   0.446E+02
    100,2022-10-03T12:16:53.575+02:00,   0.122E-01,   2.26939,   0.484E+02
    200,2022-10-03T12:17:03.226+02:00,   0.128E-01,   3.53241,   0.870E+02
    300,2022-10-03T12:17:13.161+02:00,   0.129E-01,   4.69537,   0.127E+03
    400,2022-10-03T12:17:23.087+02:00,   0.131E-01,   5.94871,   0.166E+03
    500,2022-10-03T12:17:32.978+02:00,   0.127E-01,   7.17001,   0.206E+03
    600,2022-10-03T12:17:42.911+02:00,   0.120E-01,   8.35224,   0.246E+03
    700,2022-10-03T12:17:52.711+02:00,   0.130E-01,   9.62499,   0.285E+03
    728,2022-10-03T12:17:55.469+02:00,   0.115E-01,  10.00000,   0.296E+03
