,,s,s,s
Time Step,Wall Time,Step Size,Simulation Time,CPU Time
      1,2022-10-03T18:22:16.038+02:00,   0.610E+00,   0.61022,   0.581E+01
      2,2022-10-03T18:22:16.042+02:00,   0.610E+00,   1.22045,   0.581E+01
      3,2022-10-03T18:22:16.049+02:00,   0.610E+00,   1.83067,   0.581E+01
      4,2022-10-03T18:22:16.053+02:00,   0.610E+00,   2.44090,   0.581E+01
      5,2022-10-03T18:22:16.056+02:00,   0.610E+00,   3.05112,   0.588E+01
      6,2022-10-03T18:22:16.062+02:00,   0.610E+00,   3.66135,   0.588E+01
      7,2022-10-03T18:22:16.066+02:00,   0.610E+00,   4.27157,   0.588E+01
      8,2022-10-03T18:22:16.070+02:00,   0.610E+00,   4.88179,   0.594E+01
      9,2022-10-03T18:22:16.076+02:00,   0.610E+00,   5.49202,   0.594E+01
     10,2022-10-03T18:22:16.080+02:00,   0.610E+00,   6.10224,   0.594E+01
     17,2022-10-03T18:22:16.112+02:00,   0.236E+00,  10.00000,   0.606E+01
