s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s
Time,"temp-1","temp-2","temp-3","temp-4","temp-5","temp-6","temp-7","temp-8","temp-9","temp-10","temp-11","temp-12","temp-13","temp-14","temp-15","vel-1","vel-2","vel-3","vel-4","vel-5","vel-6","vel-7","vel-8","vel-9","vel-10","vel-11","vel-12","vel-13","vel-14","vel-15"
 0.0000000E+000, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 5.3778174E-003, 3.2983611E-003, 2.2960730E-003, 3.6543917E-003, 7.1422483E-003, 9.4924468E-003, 7.9437758E-003, 4.0815611E-003, 5.7687620E-003, 5.3340858E-003, 7.9079204E-003, 7.7701662E-003, 5.5465275E-003, 5.5039203E-003, 6.0980488E-003
 2.1320072E+000, 2.0000001E+001, 2.0000002E+001, 2.0000004E+001, 2.0000003E+001, 2.0000001E+001, 2.0000004E+001, 2.0000003E+001, 2.0000003E+001, 2.0000002E+001, 2.0000005E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 5.2408149E-003, 3.2762140E-003, 2.2332266E-003, 3.5840028E-003, 7.0705177E-003, 9.3608163E-003, 7.9512544E-003, 4.0563345E-003, 5.7644784E-003, 5.2372670E-003, 7.7588604E-003, 7.8573604E-003, 7.1421265E-003, 8.6867691E-003, 3.7568248E-003
 3.9066614E+000, 2.0000113E+001, 2.0000138E+001, 2.0000153E+001, 2.0000085E+001, 2.0000047E+001, 2.0000025E+001, 2.0000016E+001, 2.0000013E+001, 2.0000008E+001, 2.0000017E+001, 1.9999997E+001, 2.0000001E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 5.1814394E-003, 6.2795193E-003, 5.3467334E-003, 7.9297177E-003, 6.0835838E-003, 4.5879693E-003, 1.2809759E-002, 2.0691338E-003, 4.5333232E-003, 3.0058955E-003, 1.0160197E-002, 6.8561188E-003, 9.4901628E-003, 8.6858217E-003, 4.2422722E-003
 5.6041373E+000, 2.0001634E+001, 2.0001958E+001, 2.0002178E+001, 2.0001338E+001, 2.0000883E+001, 2.0000446E+001, 2.0000354E+001, 2.0000259E+001, 2.0000211E+001, 2.0000189E+001, 2.0000088E+001, 2.0000069E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 8.6447652E-003, 1.0289144E-002, 9.7402889E-003, 1.2101484E-002, 8.1088377E-003, 3.2280512E-003, 1.7434636E-002, 5.3982638E-003, 6.2523851E-003, 5.8397499E-003, 1.3905378E-002, 7.4523639E-003, 1.5997118E-002, 9.6383429E-003, 6.0935954E-003
 7.3843352E+000, 2.0004493E+001, 2.0005337E+001, 2.0006034E+001, 2.0004287E+001, 2.0003310E+001, 2.0002433E+001, 2.0002256E+001, 2.0001908E+001, 2.0001690E+001, 2.0001497E+001, 2.0001077E+001, 2.0000941E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.2654638E-002, 2.4785908E-002, 2.4631736E-002, 2.7196579E-002, 2.1791759E-002, 1.6591567E-002, 3.2875032E-002, 2.0303928E-002, 1.9769058E-002, 2.0150291E-002, 2.8484342E-002, 2.2508340E-002, 3.8252472E-002, 1.7362236E-002, 1.3388322E-002
 9.0778625E+000, 2.0010904E+001, 2.0012381E+001, 2.0013414E+001, 2.0010699E+001, 2.0009333E+001, 2.0007677E+001, 2.0006950E+001, 2.0005726E+001, 2.0005309E+001, 2.0005019E+001, 2.0004524E+001, 2.0004375E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 3.8748139E-002, 4.1965603E-002, 4.3082010E-002, 4.8784304E-002, 4.4558793E-002, 4.4334226E-002, 6.2410265E-002, 5.3343283E-002, 5.4010033E-002, 5.7586100E-002, 7.1217261E-002, 7.4804549E-002, 1.1035718E-001, 4.4545203E-002, 3.2989044E-002
 1.0855280E+001, 2.0021965E+001, 2.0024228E+001, 2.0025456E+001, 2.0022092E+001, 2.0020571E+001, 2.0017845E+001, 2.0016051E+001, 2.0012998E+001, 2.0012118E+001, 2.0011468E+001, 2.0010279E+001, 2.0009982E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 5.8500977E-002, 6.2249337E-002, 6.3401007E-002, 7.1099928E-002, 6.8569070E-002, 7.3174868E-002, 9.3781567E-002, 9.1292659E-002, 9.5557950E-002, 1.0409335E-001, 1.2906455E-001, 1.4887213E-001, 2.0937458E-001, 7.9517006E-002, 5.7056177E-002
 1.2643863E+001, 2.0031434E+001, 2.0034151E+001, 2.0035841E+001, 2.0032369E+001, 2.0030250E+001, 2.0026310E+001, 2.0024182E+001, 2.0020262E+001, 2.0018971E+001, 2.0017856E+001, 2.0015741E+001, 2.0015572E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 4.8451893E-002, 5.2237526E-002, 5.2479617E-002, 5.9661428E-002, 5.7282010E-002, 6.2494684E-002, 8.3188413E-002, 8.3054347E-002, 8.9043711E-002, 1.0001743E-001, 1.2878712E-001, 1.5625249E-001, 2.1049040E-001, 7.2175465E-002, 5.2680775E-002
 1.4455686E+001, 2.0041451E+001, 2.0044554E+001, 2.0046649E+001, 2.0042978E+001, 2.0040086E+001, 2.0034553E+001, 2.0032001E+001, 2.0026996E+001, 2.0025246E+001, 2.0023732E+001, 2.0021022E+001, 2.0021135E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 8.4840328E-003, 1.2652097E-002, 1.3052501E-002, 1.8816571E-002, 1.5642248E-002, 2.2739693E-002, 3.9617752E-002, 3.8164157E-002, 4.2727188E-002, 5.2313194E-002, 7.3131724E-002, 9.3564040E-002, 1.1481907E-001, 2.9588952E-002, 2.4068243E-002
