s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
 0.0000000E+000, 0.0000000E+000,-4.7806822E-005,-6.6641990E-011, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.7806889E-005, 0.0000000E+000, 0.0000000E+000
 1.1180340E-002, 0.0000000E+000,-7.5706417E-007,-1.5301461E-004, 0.0000000E+000,-1.2307641E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.7684809E-004, 4.0694574E-005, 4.0694574E-005
 2.2360681E-002, 6.0097171E-001,-7.4903013E-007, 1.0010519E-002, 3.0889553E-008,-2.3991200E-004, 0.0000000E+000, 0.0000000E+000,-7.6794735E-004, 6.1074160E-001, 8.1378976E-005, 8.1378976E-005
 3.3541020E-002, 1.4544211E+000,-1.7365560E-002, 2.4122054E-002,-4.3385624E-003,-3.5162453E-004, 0.0000000E+000, 0.0000000E+000, 6.0777928E-001, 1.4564874E+000, 1.2204305E-004, 1.2204305E-004
 4.4721361E-002, 2.4673068E+000,-3.6499671E-002, 4.0721244E-002,-1.4745996E-002,-4.5985193E-004, 0.0000000E+000, 0.0000000E+000, 1.4499329E+000, 2.4563225E+000, 1.6267664E-004, 1.6267664E-004
 5.5901699E-002, 3.6694500E+000,-5.8133727E-002, 6.0249060E-002,-3.3199567E-002,-5.6656881E-004, 0.0000000E+000, 0.0000000E+000, 2.4448185E+000, 3.6377992E+000, 2.0326965E-004, 2.0326965E-004
 6.7082040E-002, 4.9879461E+000,-8.4119769E-002, 8.1227904E-002,-6.3590338E-002,-6.7387180E-004, 0.0000000E+000, 0.0000000E+000, 3.6182331E+000, 4.9207900E+000, 2.4381201E-004, 2.4381201E-004
 7.8262381E-002, 6.4139839E+000,-1.6601178E-001, 1.0226918E-001,-1.1794739E-001,-7.8321932E-004, 0.0000000E+000, 0.0000000E+000, 4.8850722E+000, 6.2315107E+000, 2.8429369E-004, 2.8429369E-004
 8.9442722E-002, 7.9757317E+000,-2.9654218E-001, 1.2354364E-001,-2.0598875E-001,-8.9513962E-004, 0.0000000E+000, 0.0000000E+000, 6.1728874E+000, 7.5958492E+000, 3.2470474E-004, 3.2470474E-004
 1.0062306E-001, 9.5388242E+000,-5.6551610E-001, 1.4080481E-001,-3.3866296E-001,-1.0095481E-003, 0.0000000E+000, 0.0000000E+000, 7.5027394E+000, 8.7744404E+000, 3.6503526E-004, 3.6503526E-004
 1.1180340E-001, 1.1199030E+001,-1.0829939E+000, 1.5372766E-001,-5.1527451E-001,-1.1242769E-003, 0.0000000E+000, 0.0000000E+000, 8.6477568E+000, 9.7533646E+000, 4.0527545E-004, 4.0527545E-004
 1.2298374E-001, 1.2927058E+001,-2.1631643E+000, 1.5725215E-001,-7.3026441E-001,-1.2373936E-003, 0.0000000E+000, 0.0000000E+000, 9.5882984E+000, 1.0189644E+001, 4.4541559E-004, 4.4541559E-004
 1.3416408E-001, 1.4787067E+001,-3.9713109E+000, 1.5180087E-001,-9.4995549E-001,-1.3465920E-003, 0.0000000E+000, 0.0000000E+000, 9.9944796E+000, 1.0016255E+001, 4.8544605E-004, 4.8544605E-004
 1.4534442E-001, 1.6787754E+001,-6.4362938E+000, 1.4034779E-001,-1.1169612E+000,-1.4495730E-003, 0.0000000E+000, 0.0000000E+000, 9.8529009E+000, 9.3733970E+000, 5.2535731E-004, 5.2535731E-004
 1.5652476E-001, 1.8645107E+001,-9.5678930E+000, 1.1925140E-001,-1.2146239E+000,-1.5460319E-003, 0.0000000E+000, 0.0000000E+000, 9.2722126E+000, 7.9802953E+000, 5.6513998E-004, 5.6513998E-004
 1.6770510E-001, 2.0667619E+001,-1.0918632E+001, 1.2782844E-001,-1.2215022E+000,-1.6364424E-003, 0.0000000E+000, 0.0000000E+000, 7.9351578E+000, 8.6536770E+000, 6.0478479E-004, 6.0478479E-004
 1.7888544E-001, 2.2383225E+001,-1.1862716E+001, 1.3868428E-001,-1.2349529E+000,-1.7246597E-003, 0.0000000E+000, 0.0000000E+000, 8.5943622E+000, 9.4225155E+000, 6.4428258E-004, 6.4428258E-004
 1.9006577E-001, 1.2930639E+001,-5.7991219E+000, 9.0914557E-002,-1.2167480E+000,-1.8097280E-003, 0.0000000E+000, 0.0000000E+000, 9.3781874E+000, 6.0038740E+000, 6.8362436E-004, 6.8362436E-004
 1.9970697E-001, 1.5654212E+001,-6.3504938E+000, 1.2220698E-001,-1.1146042E+000,-1.8834456E-003, 0.0000000E+000, 0.0000000E+000, 6.1273962E+000, 8.3094375E+000, 7.1741807E-004, 7.1741807E-004
 2.0934816E-001, 1.6011541E+001,-7.1305231E+000, 1.2162563E-001,-1.0310556E+000,-1.9538283E-003, 0.0000000E+000, 0.0000000E+000, 8.3272658E+000, 7.9696341E+000, 7.5108360E-004, 7.5108360E-004
 2.1726726E-001, 1.9037821E+001,-7.9240171E+000, 1.5665005E-001,-9.7571158E-001,-2.0129804E-003, 0.0000000E+000, 0.0000000E+000, 7.9930395E+000, 1.0292729E+001, 7.7863609E-004, 7.7863609E-004
