,,s,s,s
Time Step,Wall Time,Step Size,Simulation Time,CPU Time
      1,2022-10-12T11:32:55.474+02:00,   0.112E-01,   0.01118,3702.37500
      2,2022-10-12T11:34:57.220+02:00,   0.112E-01,   0.02236,3893.59375
      3,2022-10-12T11:37:06.736+02:00,   0.112E-01,   0.03354,4100.35938
      4,2022-10-12T11:39:49.892+02:00,   0.112E-01,   0.04472,4432.21875
      5,2022-10-12T11:42:25.953+02:00,   0.112E-01,   0.05590,4688.93750
      6,2022-10-12T11:44:55.849+02:00,   0.112E-01,   0.06708,4927.90625
      7,2022-10-12T11:47:36.860+02:00,   0.112E-01,   0.07826,5247.45312
      8,2022-10-12T11:49:54.085+02:00,   0.112E-01,   0.08944,5460.73438
      9,2022-10-12T11:52:29.781+02:00,   0.112E-01,   0.10062,5711.12500
     10,2022-10-12T11:54:55.470+02:00,   0.112E-01,   0.11180,6046.75000
     20,2022-10-12T12:21:56.024+02:00,   0.792E-02,   0.21727,9140.34375
     30,2022-10-12T12:48:49.787+02:00,   0.489E-02,   0.27638,**********
     40,2022-10-12T13:17:53.046+02:00,   0.538E-02,   0.32770,**********
     50,2022-10-12T13:45:24.657+02:00,   0.538E-02,   0.38146,**********
     60,2022-10-12T14:08:30.963+02:00,   0.473E-02,   0.43198,**********
     70,2022-10-12T14:34:11.947+02:00,   0.420E-02,   0.47716,**********
     80,2022-10-12T15:01:25.392+02:00,   0.374E-02,   0.51593,**********
     90,2022-10-12T15:25:37.804+02:00,   0.330E-02,   0.55156,**********
    100,2022-10-12T15:50:57.567+02:00,   0.330E-02,   0.58457,**********
    200,2022-10-12T20:06:20.432+02:00,   0.206E-02,   0.82810,**********
